"TDA352","Kryptografi","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TDA357","Databaser","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA361","Computer graphics","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"TDA367","Objektorienterat programmeringsprojekt","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA383","Parallell programmering","TKDAT","DATATEKNIK, CIVILINGENJÖR"
"TDA416","Datastrukturer och algoritmer","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA452","Funktionell programmering","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA486","Human-centred design","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"TDA492","Graphical interfaces","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"TDA493","Graphical interfaces","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"TDA497","Interaction design methodology","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"TDA507","Beräkningsmetoder inom bioinformatik","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TDA516","Kommunikation engelska och ingenjörskompetens","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA517","Kommunikation engelska och ingenjörskompetens","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA545","Objektorienterad programvaruutveckling","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA550","Objektorienterad programvaruutveckling, fortsättningskurs","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA566","Testning, felsökning och verifiering","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA567","Testning, felsökning och verifiering","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA572","Spelmotorarkitektur","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"TDA580","Gameplay design","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"TDA593","Modelldriven mjukvaruutveckling","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA596","Distribuerade system","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"TDA602","Språkbaserad datasäkerhet","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TEK010","Creating new business","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"TEK015","R&D strategy and organization","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"TEK016","Strategic management of innovation and technology","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"TEK017","Strategi","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"TEK030","Organisatoriskt beteende","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
,,,
"TEK050","Affärsplanering för tillväxtföretag: Venture Cup","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TEK130","Vetenskapshistoria","MTS","-"
"TEK190","Research design and methods","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"TEK211","Hantering av varumärkesidentiteter","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TEK216","Idéutvärdering","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TEK225","Teknik och samhälle","MTS","-"
"TEK236","Socialt entreprenörskap","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TEK250","Industrial management","MPQOM","KVALITETS- OCH VERKSAMHETSUTVECKLING, MASTERPROGRAM"
"TEK261","Business marketing and purchasing","MPSCM","SUPPLY CHAIN MANAGEMENT, MASTERPROGRAM"
"TEK280","Strategy creation and change","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"TEK296","Ledning och hantering av immateriella tillgångar","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TEK300","Avancerad immaterialrättsteori","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TEK306","Ledning av öppen innovation och nätverksbaserade marknader","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TEK315","Strategic management and economics of intellectual property","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"TEK320","ICT economics and policy","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"TEK365","Project management","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"TEK405","Organisatoriskt beteende - orientering","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TEK451","Lärande och ledande i dysfunktionella organisationer","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"TEK455","Kunskapsbaserat affärsskapande och ledning","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TEK495","Design och innovation","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"TEK510","Organisering för innovation","MPBDP","ENTREPRENÖRSKAP OCH AFFÄRSDESIGN, MASTERPROGRAM"
"TIF106","Icke-jämviktsprocesser i fysik, kemi och biologi","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"TIF150","Informationsteori för komplexa system","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"TIF155","Dynamiska system","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"TIF160","Humanoida robotar","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"TIN092","Algorithms","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TIN093","Algoritmer","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TIN172","Artificiell intelligens","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TIN173","Artificiell intelligens","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TMA026","Partiella differentialekvationer fortsättningskurs","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMA265","Numerisk linjär algebra","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TMA265","Numerisk linjär algebra","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
